,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
371,두부,동물복지유정란,검은콩두유,,,,,,,,,,,,,,,,
372,유정란/친환경,콩나물,,,,,,,,,,,,,,,,,
373,양파,콩나물,당근,,,,,,,,,,,,,,,,
374,두부,유정란/친환경,,,,,,,,,,,,,,,,,
375,두부,양파,당근,,,,,,,,,,,,,,,,
376,두부,양파,검은콩두유,,,,,,,,,,,,,,,,
377,두부,콩나물,,,,,,,,,,,,,,,,,
378,두부,유정란/친환경,콩나물,누룽지,검은콩두유,,,,,,,,,,,,,,
379,양파,,,,,,,,,,,,,,,,,,
380,검은콩두유,,,,,,,,,,,,,,,,,,
381,당근,,,,,,,,,,,,,,,,,,
382,양파,얼갈이,검은콩두유,,,,,,,,,,,,,,,,
383,두부,사과/,두유,,,,,,,,,,,,,,,,
384,당근,검은콩두유,,,,,,,,,,,,,,,,,
385,두부,유정란/친환경,두유,,,,,,,,,,,,,,,,
386,두부,콩나물,무,,,,,,,,,,,,,,,,
387,유정란/친환경,콩나물,,,,,,,,,,,,,,,,,
388,무,,,,,,,,,,,,,,,,,,
389,검은콩두유,,,,,,,,,,,,,,,,,,
390,사과/,,,,,,,,,,,,,,,,,,
391,두부,,,,,,,,,,,,,,,,,,
392,검은콩두유,두유,,,,,,,,,,,,,,,,,
393,콩국물,유정란/친환경,,,,,,,,,,,,,,,,,
394,검은콩두유,,,,,,,,,,,,,,,,,,
395,중파,,,,,,,,,,,,,,,,,,
396,애호박,,,,,,,,,,,,,,,,,,
397,두부,검은콩두유,,,,,,,,,,,,,,,,,
398,팽이버섯,두유,,,,,,,,,,,,,,,,,
399,오이,검은콩두유,양배추,,,,,,,,,,,,,,,,
400,찹쌀백미/유,,,,,,,,,,,,,,,,,,
401,부추,,,,,,,,,,,,,,,,,,
402,중파,검은콩두유,,,,,,,,,,,,,,,,,
403,유정란/친환경,당근,,,,,,,,,,,,,,,,,
404,검은콩두유,찹쌀백미/유,두유,,,,,,,,,,,,,,,,
405,검은콩두유,,,,,,,,,,,,,,,,,,
406,두유,,,,,,,,,,,,,,,,,,
407,애호박,,,,,,,,,,,,,,,,,,
408,검은콩두유,두유,,,,,,,,,,,,,,,,,
409,유정란/친환경,오이,깐마늘/난지형/유,누룽지,검은콩두유,사과,,,,,,,,,,,,,
410,대파,,,,,,,,,,,,,,,,,,
411,오이,양배추,,,,,,,,,,,,,,,,,
412,양파,,,,,,,,,,,,,,,,,,
413,애호박,사과,,,,,,,,,,,,,,,,,
414,유정란/친환경,찹쌀백미/유,,,,,,,,,,,,,,,,,
415,두유,,,,,,,,,,,,,,,,,,
416,콩나물,검은콩두유,사과,,,,,,,,,,,,,,,,
417,오이,무,중파,부추,,,,,,,,,,,,,,,
418,애호박,,,,,,,,,,,,,,,,,,
419,두유,,,,,,,,,,,,,,,,,,
420,콩나물,검은콩두유,사과,,,,,,,,,,,,,,,,
421,찹쌀백미/유,,,,,,,,,,,,,,,,,,
422,오이,,,,,,,,,,,,,,,,,,
423,유기농저지방우유,,,,,,,,,,,,,,,,,,
424,참기름,,,,,,,,,,,,,,,,,,
425,당근,월동무,,,,,,,,,,,,,,,,,
426,동물복지유정란,대파,찌개용두부,,,,,,,,,,,,,,,,
427,두부,동물복지유정란,당근,대파,,,,,,,,,,,,,,,
428,동물복지유정란,콩나물,브로컬리,,,,,,,,,,,,,,,,
429,시금치,팽이버섯,,,,,,,,,,,,,,,,,
430,대파,양배추,,,,,,,,,,,,,,,,,
431,콩나물,상추,찌개용두부,,,,,,,,,,,,,,,,
432,시금치,쌈채소모음,,,,,,,,,,,,,,,,,
433,동물복지유정란,부추,,,,,,,,,,,,,,,,,
434,동물복지유정란,시금치,,,,,,,,,,,,,,,,,
435,상추,도토리묵,,,,,,,,,,,,,,,,,
436,유정란/친환경,팽이버섯,,,,,,,,,,,,,,,,,
437,콩국물,브로컬리,깐마늘/난지형/유,찌개용두부,,,,,,,,,,,,,,,
438,상추,가지,,,,,,,,,,,,,,,,,
439,오이,중파,팽이버섯,,,,,,,,,,,,,,,,
440,참기름,,,,,,,,,,,,,,,,,,
441,상추,찌개용두부,구운도시락김,도토리묵,,,,,,,,,,,,,,,
